row_index,best_sum,diff_from_100,best_columns
0,100.10000000000001,0.10000000000000853,"('glean leaf', 'glean branch', 'hoverleaf', 'hawk leaf')"
1,102.69999999999999,2.6999999999999886,"('glean trunk', 'glean branch')"
2,100.0,0.0,"('glean trunk', 'glean other')"
3,100.0,0.0,"('hawk other',)"
4,86.10000000000001,13.899999999999991,"('glean trunk', 'glean branch', 'probe trunk', 'probe other')"
5,71.4,28.599999999999994,"('glean other', 'hoverleaf', 'hawk/sally trunk', 'hawk leaf', 'hawk other')"
6,90.0,10.0,"('hoverleaf', 'hawk/sally trunk', 'hawk leaf', 'hawk twig', 'hawk other')"
7,96.6,3.4000000000000057,"('hoverleaf', 'hawk/sally trunk', 'hawk leaf', 'hawk twig', 'hawk other')"
8,98.9,1.0999999999999943,"('glean trunk', 'glean leaf', 'glean branch', 'glean twig', 'hover twig')"
9,99.89999999999999,0.10000000000000853,"('glean trunk', 'glean other', 'hover other', 'hawk other')"
10,98.5,1.5,"('hawk/sally trunk', 'hawk leaf', 'hawk branch', 'hawk twig', 'hawk other')"
11,100.00000000000001,1.4210854715202004e-14,"('glean trunk', 'glean leaf', 'glean other', 'hoverleaf', 'probe branch')"
12,100.6,0.5999999999999943,"('glean leaf', 'glean twig', 'glean other', 'hoverleaf')"
13,99.7,0.29999999999999716,"('glean leaf', 'hoverleaf', 'probe trunk', 'hawk leaf', 'hawk twig')"
14,99.39999999999999,0.6000000000000085,"('glean leaf', 'hoverleaf', 'hoverbranch', 'hover other')"
15,100.0,0.0,"('glean leaf', 'glean twig', 'hawk/sally trunk', 'hawk other')"
16,99.89999999999999,0.10000000000000853,"('glean trunk', 'glean branch', 'probe trunk')"
17,100.0,0.0,"('glean leaf', 'glean branch', 'glean other', 'hoverleaf')"
18,100.0,0.0,"('glean leaf', 'glean branch', 'glean twig', 'glean other', 'hawk other')"
19,108.10000000000001,8.100000000000009,"('glean leaf', 'hover twig')"
20,100.29999999999998,0.29999999999998295,"('glean trunk', 'glean branch', 'glean twig', 'probe trunk')"
21,100.5,0.5,"('glean leaf', 'glean branch', 'hoverleaf', 'hover twig', 'hawk other')"
22,97.1,2.9000000000000057,"('glean trunk', 'glean leaf', 'glean branch', 'glean other', 'hawk other')"
23,100.0,0.0,"('glean other',)"
24,100.0,0.0,"('glean other',)"
25,100.0,0.0,"('glean other',)"
